cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,metric,estimate,ci_low,ci_high,bootstrap_replicates,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M1b_any_withdrawal,PASS,c_statistic,0.6568106010022603,0.642721493055636,0.6702674225008801,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M1b_any_withdrawal,PASS,brier_score,0.047069801781738606,0.04495380885136436,0.049003511699921086,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M2_fried,PASS,c_statistic,0.6666226447591319,0.6514841676605283,0.6802086858521816,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M2_fried,PASS,brier_score,0.046929714927391085,0.04482469642306309,0.048863692056243684,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M3b_fried_any_withdrawal,PASS,c_statistic,0.6655524346336607,0.6503426549719699,0.6794606064173415,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M3b_fried_any_withdrawal,PASS,brier_score,0.0469470456450896,0.04484575219160376,0.048880894220572596,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,delta_c_statistic,-0.0010972249092822128,-0.0018649205742747922,-0.0003542621121871704,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,delta_brier_score,1.4422222558985176e-05,5.065373372004426e-06,2.358472001008914e-05,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M2_fried_minus_M0_routine,PASS,delta_c_statistic,0.0087148188475894,0.0032322422315898356,0.013834362856792973,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M2_fried_minus_M0_routine,PASS,delta_brier_score,-0.0001256646317885357,-0.00022064922914878502,-3.413922324790219e-05,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,delta_c_statistic,0.00764460872211814,0.002300848147551701,0.012974145360053568,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,delta_brier_score,-0.00010833391409002108,-0.00020340430810060917,-1.2497123431591651e-05,500,6874.0,387.0,6487.0
